	user	text	location	date
92	linux_sevilla	Use my referral link https://t.co/NXCVcAmGMj to sign up for https://t.co/mFBYQBM4I6 and we both get $50 #usdtry :)… https://t.co/4AdIivxJQs	Islas Cocos (Keeling)	2019-07-19 04:13:14
93	CoinDetective	Why I Chose BCH over BTC #BCH https://t.co/2Rx6hl3hO7		2019-07-19 04:08:06
94	CurrencyNews	Bloomberg: Data Gumbo CEO Uses Blockchain to Rid Energy Industry of the 'Paper Process' #ETH #Ethereum #BCH… https://t.co/B1ZhoBUE05	London, England	2019-07-19 04:06:08
95	CurrencyNews	Bitcoin-Seeking Ransomware ‘Ryuk’ Virus Found and Studied in China - Cointelegraph #Cryptocurrencynews #ETH… https://t.co/dmS5RIXkbU	London, England	2019-07-19 04:06:08
96	bch_price	"Price of 1 BCH to USD: $312.22 (Change: -0.69 %)
Price of 1 BCH to BTC: 0.02948043 Ƀ (Change: -0.44 %)
#bitcoincash #bch $bch"	Bulgaria	2019-07-19 04:02:22
97	coinstats	"BitcoinCash - BCH
Price: $311.91
Change in 1h: -0.83%
Market cap: $5,582,985,959.00
Ranking: 5
#BitcoinCash #BCH"	Blockchain	2019-07-19 04:00:22
98	100btcP	"You can see Our Pro group Made Day Profit And Have a Good accuracy !

https://t.co/7N68aEM5Sn

#BITMEX #BTC #ADA… https://t.co/KOP6zIGaRk"		2019-07-19 03:46:33
99	BinancePrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10575.32 $ (-0.18 %)
$ETH - 221.97 $   (-0.45 %)
$XRP - 0.32 $     (-0.4… https://t.co/T24UjXPino"		2019-07-19 03:43:31
100	cryptosUSD	"🔄 Prices update in $USD (1 hour):

$BTC   - 10601.6 $   (-0.25 %)
$ETH   - 222.63 $    (-0.73 %)
$XRP   - 0.32 $… https://t.co/eg8MaST9we"		2019-07-19 03:43:21
101	BittrexPrices	"🔄 Prices update in $USDT (1 hour):

$BTC - 10570.78 $   (-0.14 %)
$ETH - 222.0 $      (-0.46 %)
$XRP - 0.32 $… https://t.co/Q6iWfVGbqa"		2019-07-19 03:43:20
102	coinpricenow	"1 Bitcoin ( #BTC )
Dollar: 10,636.56$ 

1 Bitcoin Cash ( #BCH )
Dollar: 3,12.95$ 

1 Ethereum ( #ETH )
Dollar: 223.… https://t.co/PcKzZjCvBD"		2019-07-19 03:40:32
103	cryptogirl_girl	"390 follow me   ,  thank you so much 
Good lucky   everyone  😘😘😘

 #cryptocurrency  #Blockchain
#BTC #nano #BSV… https://t.co/PmzTvgw7Vx"	earth 	2019-07-19 03:40:22
104	CurrencyNews	What’s in Store for Ethereum in the Near Future? #BLockchain #Ethereum #BitcoinNews #BTC #CryptoCurrency… https://t.co/8pg06kZLJV	London, England	2019-07-19 03:33:13
105	CurrencyNews	Ethereum Price (ETH) Breaks $220 While Bitcoin Rallied 10% #BLockchain #BTC #Ethereum #BCH #ETH #QASH #CryptoNews… https://t.co/WBhO2ENCQY	London, England	2019-07-19 03:27:18
106	aWebAnalysis	"Bitcoin Cash BCH Current Price:
$315.07
1 Hour: 0.41 % | 24 Hours: 7.06 % | 7 Days: -9.31 %
#bch #bitcoin cash"	New York, NY	2019-07-19 03:17:02
107	FTYPE13	"Make money even when BTC is going down! 

https://t.co/2NuQB72yfM

#BITMEX #BTC #ADA #XRP #BCH #EOS #X10 #X20 $EOS… https://t.co/kbFu7ooKUf"		2019-07-19 03:16:47
108	100btcP	"You can see Our Pro group Made Day Profit And Have a Good accuracy !

https://t.co/7N68aEM5Sn

#BITMEX #BTC #ADA… https://t.co/oNUrHGTjqk"		2019-07-19 03:16:47
109	teammonster11	"Make money even when BTC is going down! 

https://t.co/Vx3QpniTXg

#BITMEX #BTC #ADA #XRP #BCH #EOS #X10 #X20 $DGD… https://t.co/Do7d3sCTE6"		2019-07-19 03:16:46
110	BKKSET	Clip ข่าวหุ้น BBL BEM LOXLEY BCH Pre-Open Report 19-07-62 โดย Stock News Update #คลิป #หุ้น #BBL #BEM #LOXLEY #BCH… https://t.co/Lxngy0mF0Y	Thailand	2019-07-19 03:13:36
111	CoinsZoneNews	Less than 24h till we announce the winners of the weekly #giveaway program, enroll now &amp; win free @satoshi's every… https://t.co/IQQYJs3XuR	Earth	2019-07-19 03:10:07
112	alicoinglobal	Facebook Libra Risks to Financial Stability Demand ‘Highest’ Regulatory Standards, Says G7. Read more:… https://t.co/pfSqefLLqt		2019-07-19 03:04:35
113	bch_price	"Price of 1 BCH to USD: $314.38 (Change: +0.54 %)
Price of 1 BCH to BTC: 0.02961196 Ƀ (Change: +0.22 %)
#bitcoincash #bch $bch"	Bulgaria	2019-07-19 03:01:48
114	MexWatcher	"Future / Spot basis as of Fri Jul 19 12:01:26 JST 2019
#BCH : 0.31%
#XRP : 0.36%
#ETH : 0.24%
#EOS : 0.36%
#LTC : 0… https://t.co/OWtGMYKw7a"		2019-07-19 03:01:26
